685,KBytes,5.61,Mbits/sec,5.61,625
610,KBytes,4.99,Mbits/sec,4.99,626
579,KBytes,4.74,Mbits/sec,4.74,627
439,KBytes,3.6,Mbits/sec,3.6,628
596,KBytes,4.89,Mbits/sec,4.89,629
746,KBytes,6.11,Mbits/sec,6.11,630
684,KBytes,5.6,Mbits/sec,5.6,631
751,KBytes,6.15,Mbits/sec,6.15,632
608,KBytes,4.98,Mbits/sec,4.98,633
842,KBytes,6.9,Mbits/sec,6.9,634
637,KBytes,5.22,Mbits/sec,5.22,635
558,KBytes,4.57,Mbits/sec,4.57,636
516,KBytes,4.22,Mbits/sec,4.22,637
398,KBytes,3.26,Mbits/sec,3.26,638
387,KBytes,3.17,Mbits/sec,3.17,639
377,KBytes,3.09,Mbits/sec,3.09,640
286,KBytes,2.34,Mbits/sec,2.34,641
405,KBytes,3.31,Mbits/sec,3.31,642
628,KBytes,5.15,Mbits/sec,5.15,643
352,KBytes,2.88,Mbits/sec,2.88,644
278,KBytes,2.27,Mbits/sec,2.27,645
357,KBytes,2.92,Mbits/sec,2.92,646
283,KBytes,2.32,Mbits/sec,2.32,647
354,KBytes,2.9,Mbits/sec,2.9,648
258,KBytes,2.11,Mbits/sec,2.11,649
390,KBytes,3.2,Mbits/sec,3.2,650
615,KBytes,5.04,Mbits/sec,5.04,651
731,KBytes,5.99,Mbits/sec,5.99,652
714,KBytes,5.85,Mbits/sec,5.85,653
820,KBytes,6.72,Mbits/sec,6.72,654
639,KBytes,5.23,Mbits/sec,5.23,655
655,KBytes,5.36,Mbits/sec,5.36,656
752,KBytes,6.16,Mbits/sec,6.16,657
688,KBytes,5.63,Mbits/sec,5.63,658
887,KBytes,7.27,Mbits/sec,7.27,659
725,KBytes,5.94,Mbits/sec,5.94,660
785,KBytes,6.43,Mbits/sec,6.43,661
320,KBytes,2.62,Mbits/sec,2.62,662
502,KBytes,4.12,Mbits/sec,4.12,663
569,KBytes,4.66,Mbits/sec,4.66,664
362,KBytes,2.97,Mbits/sec,2.97,665
485,KBytes,3.98,Mbits/sec,3.98,666
536,KBytes,4.39,Mbits/sec,4.39,667
369,KBytes,3.02,Mbits/sec,3.02,668
480,KBytes,3.93,Mbits/sec,3.93,669
381,KBytes,3.12,Mbits/sec,3.12,670
331,KBytes,2.71,Mbits/sec,2.71,671
386,KBytes,3.16,Mbits/sec,3.16,672
267,KBytes,2.19,Mbits/sec,2.19,673
264,KBytes,2.17,Mbits/sec,2.17,674
344,KBytes,2.82,Mbits/sec,2.82,675
405,KBytes,3.31,Mbits/sec,3.31,676
394,KBytes,3.23,Mbits/sec,3.23,677
639,KBytes,5.23,Mbits/sec,5.23,678
673,KBytes,5.51,Mbits/sec,5.51,679
409,KBytes,3.35,Mbits/sec,3.35,680
689,KBytes,5.64,Mbits/sec,5.64,681
730,KBytes,5.98,Mbits/sec,5.98,682
502,KBytes,4.12,Mbits/sec,4.12,683
740,KBytes,6.07,Mbits/sec,6.07,684
1.01,MBytes,8.44,Mbits/sec,8.44,685
608,KBytes,4.98,Mbits/sec,4.98,686
372,KBytes,3.04,Mbits/sec,3.04,687
579,KBytes,4.74,Mbits/sec,4.74,688
608,KBytes,4.98,Mbits/sec,4.98,689
468,KBytes,3.83,Mbits/sec,3.83,690
584,KBytes,4.79,Mbits/sec,4.79,691
542,KBytes,4.44,Mbits/sec,4.44,692
541,KBytes,4.43,Mbits/sec,4.43,693
639,KBytes,5.23,Mbits/sec,5.23,694
649,KBytes,5.32,Mbits/sec,5.32,695
644,KBytes,5.28,Mbits/sec,5.28,696
666,KBytes,5.46,Mbits/sec,5.46,697
986,KBytes,8.08,Mbits/sec,8.08,698
841,KBytes,6.89,Mbits/sec,6.89,699
796,KBytes,6.52,Mbits/sec,6.52,700
673,KBytes,5.51,Mbits/sec,5.51,701
1017,KBytes,8.33,Mbits/sec,8.33,702
997,KBytes,8.17,Mbits/sec,8.17,703
1.06,MBytes,8.93,Mbits/sec,8.93,704
812,KBytes,6.65,Mbits/sec,6.65,705
828,KBytes,6.78,Mbits/sec,6.78,706
627,KBytes,5.13,Mbits/sec,5.13,707
321,KBytes,2.63,Mbits/sec,2.63,708
253,KBytes,2.07,Mbits/sec,2.07,709
165,KBytes,1.35,Mbits/sec,1.35,710
192,KBytes,1.57,Mbits/sec,1.57,711
5.29,KBytes,43.3,Kbits/sec,0.0433,712
0,Bytes,0,bits/sec,0,713
0,Bytes,0,bits/sec,0,714
6.61,KBytes,54.2,Kbits/sec,0.0542,715
5.29,KBytes,43.3,Kbits/sec,0.0433,716
27.8,KBytes,227,Kbits/sec,0.227,717
19.8,KBytes,163,Kbits/sec,0.163,718
1.32,KBytes,10.8,Kbits/sec,0.0108,719
14.5,KBytes,119,Kbits/sec,0.119,720
19.8,KBytes,162,Kbits/sec,0.162,721
6.61,KBytes,54.1,Kbits/sec,0.0541,722
1.32,KBytes,10.8,Kbits/sec,0.0108,723
15.9,KBytes,130,Kbits/sec,0.13,724
